"","year","Value_obs","Location"
"1",2001,134.87464,"Will"
"2",2002,159.96964,"Will"
"3",2003,172.33464,"Will"
"4",2004,144.03564,"Will"
"5",2005,173.75464,"Will"
"6",2006,304.77164,"Will"
"7",2007,157.98164,"Will"
"8",2008,214.69764,"Will"
"9",2009,169.41964,"Will"
"10",2010,159.08164,"Will"
"11",2011,259.59064,"Will"
"12",2012,194.47564,"Will"
"13",2013,153.12364,"Will"
"14",2014,133.28964,"Will"
"15",2015,128.18664,"Will"
