"InitDate","Year","ValueMax","ValueMin","Value50","Value10","Value90","Set","Month","Location","Value"
2007-03-01,2007,375,235,305,235,375,"NRCS",3,"Williamson R blw Sprague near Chiloquin",313.3518434908
2008-03-01,2008,465,285,375,285,465,"NRCS",3,"Williamson R blw Sprague near Chiloquin",425.8463280108
2009-03-01,2009,370,192,280,192,370,"NRCS",3,"Williamson R blw Sprague near Chiloquin",336.0387733508
2010-03-01,2010,330,151,240,151,330,"NRCS",3,"Williamson R blw Sprague near Chiloquin",315.5336604908
2011-03-01,2011,465,285,375,285,465,"NRCS",3,"Williamson R blw Sprague near Chiloquin",514.8902467208
2013-03-01,2013,394,216,305,216,394,"NRCS",3,"Williamson R blw Sprague near Chiloquin",303.7161462308
2014-03-01,2014,244,66,155,66,244,"NRCS",3,"Williamson R blw Sprague near Chiloquin",264.3760022508
2015-03-01,2015,258,80,169,80,258,"NRCS",3,"Williamson R blw Sprague near Chiloquin",254.2543548408
2016-03-01,2016,385,205,315,205,385,"NRCS",3,"Williamson R blw Sprague near Chiloquin",329.0351407808
1993-04-01,1993,568,362,465,362,568,"NRCS",4,"Williamson R blw Sprague near Chiloquin",520.5570205108
1994-04-01,1994,303,97,200,97,303,"NRCS",4,"Williamson R blw Sprague near Chiloquin",213.6190049508
1997-04-01,1997,493,287,390,287,493,"NRCS",4,"Williamson R blw Sprague near Chiloquin",399.3927886208
1998-04-01,1998,553,347,450,347,553,"NRCS",4,"Williamson R blw Sprague near Chiloquin",601.1493735508
1999-04-01,1999,843,637,740,637,843,"NRCS",4,"Williamson R blw Sprague near Chiloquin",644.9047217508
2000-04-01,2000,468,262,365,262,468,"NRCS",4,"Williamson R blw Sprague near Chiloquin",428.3177316308
2001-04-01,2001,253,47,150,47,253,"NRCS",4,"Williamson R blw Sprague near Chiloquin",267.5198022008
2002-04-01,2002,411,205,308,205,411,"NRCS",4,"Williamson R blw Sprague near Chiloquin",317.2949818508
2003-04-01,2003,353,147,250,147,353,"NRCS",4,"Williamson R blw Sprague near Chiloquin",341.8205884008
2004-04-01,2004,378,172,275,172,378,"NRCS",4,"Williamson R blw Sprague near Chiloquin",285.6903708708
2005-04-01,2005,230,140,185,140,230,"NRCS",4,"Williamson R blw Sprague near Chiloquin",344.6371158008
2006-04-01,2006,715,507,610,507,715,"NRCS",4,"Williamson R blw Sprague near Chiloquin",604.5054047908
2007-04-01,2007,303,217,260,217,303,"NRCS",4,"Williamson R blw Sprague near Chiloquin",313.3518434908
2008-04-01,2008,445,325,385,325,445,"NRCS",4,"Williamson R blw Sprague near Chiloquin",425.8463280108
2009-04-01,2009,365,245,305,245,365,"NRCS",4,"Williamson R blw Sprague near Chiloquin",336.0387733508
2010-04-01,2010,305,186,245,186,305,"NRCS",4,"Williamson R blw Sprague near Chiloquin",315.5336604908
2011-04-01,2011,535,415,475,415,535,"NRCS",4,"Williamson R blw Sprague near Chiloquin",514.8902467208
2013-04-01,2013,289,171,230,171,289,"NRCS",4,"Williamson R blw Sprague near Chiloquin",303.7161462308
2014-04-01,2014,239,121,180,121,239,"NRCS",4,"Williamson R blw Sprague near Chiloquin",264.3760022508
2015-04-01,2015,214,96,155,96,214,"NRCS",4,"Williamson R blw Sprague near Chiloquin",254.2543548408
2016-04-01,2016,390,270,330,270,390,"NRCS",4,"Williamson R blw Sprague near Chiloquin",329.0351407808
