"InitDate","Year","ValueMax","ValueMin","Value50","Value10","Value90","Set","Month","Location","Value"
2014-03-01,2014,126,4,55,4,126,"NRCS",3,"Sprague R near Chiloquin",134.9996690239
2015-03-01,2015,166,4,85,4,166,"NRCS",3,"Sprague R near Chiloquin",133.3692566839
2016-03-01,2016,255,94,183,94,255,"NRCS",3,"Sprague R near Chiloquin",193.9503808939
1993-04-01,1993,349,241,295,241,349,"NRCS",4,"Sprague R near Chiloquin",370.6973925939
1994-04-01,1994,145,37,91,37,145,"NRCS",4,"Sprague R near Chiloquin",118.9117438539
1997-04-01,1997,279,171,225,171,279,"NRCS",4,"Sprague R near Chiloquin",276.2147991439
1998-04-01,1998,314,206,260,206,314,"NRCS",4,"Sprague R near Chiloquin",426.5281061539
1999-04-01,1999,464,356,410,356,464,"NRCS",4,"Sprague R near Chiloquin",448.2332183639
2000-04-01,2000,248,140,194,140,248,"NRCS",4,"Sprague R near Chiloquin",262.6200957639
2001-04-01,2001,114,6,60,6,114,"NRCS",4,"Sprague R near Chiloquin",132.8595048939
2002-04-01,2002,219,111,165,111,219,"NRCS",4,"Sprague R near Chiloquin",192.0581505139
2003-04-01,2003,179,71,125,71,179,"NRCS",4,"Sprague R near Chiloquin",221.3897048739
2004-04-01,2004,209,101,155,101,209,"NRCS",4,"Sprague R near Chiloquin",163.7897360739
2005-04-01,2005,170,62,115,62,170,"NRCS",4,"Sprague R near Chiloquin",238.4554807539
2006-04-01,2006,443,337,390,337,443,"NRCS",4,"Sprague R near Chiloquin",426.0183543639
2007-04-01,2007,218,112,165,112,218,"NRCS",4,"Sprague R near Chiloquin",179.2568351339
2008-04-01,2008,285,184,235,184,285,"NRCS",4,"Sprague R near Chiloquin",269.4670342039
2009-04-01,2009,210,109,160,109,210,"NRCS",4,"Sprague R near Chiloquin",183.6779897639
2010-04-01,2010,179,81,130,81,179,"NRCS",4,"Sprague R near Chiloquin",179.2965045339
2011-04-01,2011,360,260,310,260,360,"NRCS",4,"Sprague R near Chiloquin",385.2441615739
2012-04-01,2012,235,135,185,135,235,"NRCS",4,"Sprague R near Chiloquin",225.9556528139
2013-04-01,2013,182,82,132,82,182,"NRCS",4,"Sprague R near Chiloquin",163.7441162639
2014-04-01,2014,130,30,80,30,130,"NRCS",4,"Sprague R near Chiloquin",134.9996690239
2015-04-01,2015,133,27,80,27,133,"NRCS",4,"Sprague R near Chiloquin",133.3692566839
2016-04-01,2016,250,142,195,142,250,"NRCS",4,"Sprague R near Chiloquin",193.9503808939
