Issue_year,Issue_month,Target_Name,Prob_exceedence_levels,Fcst_min_vol,Fcst_low_vol,Fcst_mid_vol,Fcst_upp_vol,Fcst_max_vol,Fcst_min_pct,Fcst_low_pct,Fcst_mid_pct,Fcst_upp_pct,Fcst_max_pct,Location
2012,2,APR-SEP VOLUME,bound_10_30_50_70_90,0.7,4.7,11,17.3,26,4,26,62,97,146,Clear Lake Inflow
2012,4,APR-SEP VOLUME,bound_10_30_50_70_90,0.7,7.2,12,16.8,24,4,40,67,94,135,Clear Lake Inflow
2012,5,MAY-SEP VOLUME,bound_10_30_50_70_90,0.13,0.8,4.8,8.8,14.7,2,12,73,133,223,Clear Lake Inflow
2012,6,JUN-SEP VOLUME,bound_10_30_50_70_90,0.07,0.45,1.5,2.6,4.1,3,19,62,108,171,Clear Lake Inflow
2013,1,APR-SEP VOLUME,bound_10_30_50_70_90,0.3,8.9,13,23,34,2,62,90,160,236,Clear Lake Inflow
2013,2,APR-SEP VOLUME,bound_10_30_50_70_90,0.3,3.7,10,16.3,25,2,26,69,113,174,Clear Lake Inflow
2013,3,APR-SEP VOLUME,bound_10_30_50_70_90,0.4,5,10.5,16,24,3,35,73,111,167,Clear Lake Inflow
2013,4,APR-SEP VOLUME,bound_10_30_50_70_90,0.4,2.7,7,12.3,19.4,3,19,49,85,135,Clear Lake Inflow
2013,5,MAY-SEP VOLUME,bound_10_30_50_70_90,0.12,0.81,2.5,4.2,6.6,2,14,43,72,114,Clear Lake Inflow
2014,1,APR-SEP VOLUME,bound_10_30_50_70_90,0.1,1,3,8.6,15.3,1,7,21,60,106,Clear Lake Inflow
2014,2,APR-SEP VOLUME,bound_10_30_50_70_90,0,0.2,0.3,6.5,15.8,0,1,2,45,110,Clear Lake Inflow
2014,3,APR-SEP VOLUME,bound_10_30_50_70_90,0.1,0.4,2.2,7.7,15.7,1,3,15,53,109,Clear Lake Inflow
2014,4,APR-SEP VOLUME,bound_10_30_50_70_90,0.1,0.7,5.5,10.3,17.4,1,5,38,72,121,Clear Lake Inflow
