lat,lon,ID,Basin,Target,Norm_1970_2000,Location_name,Target_Name,Prob_exceedence_levels,Fcst_min_vol,Fcst_low_vol,Fcst_mid_vol,Fcst_upp_vol,Fcst_max_vol,Fcst_min_pct,Fcst_low_pct,Fcst_mid_pct,Fcst_upp_pct,Fcst_max_pct,Issue_month,Issue_year,File_Production_date_YYYYMMDD,State
38.7336075,-106.1600183,07091000,ac01,47,23,CHALK CK at Nathrop                     ,APR-JUL VOLUME,bound_10_30_50_70_90,12.2,17.1,21,25,32,53,74,91,109,139,5,2010,20100607,CO
38.7336075,-106.1600183,07091000,ac01,49,27,CHALK CK at Nathrop                     ,APR-SEP VOLUME,bound_10_30_50_70_90,13.6,20,25,31,40,50,74,93,115,148,5,2010,20100607,CO
38.7336075,-106.1600183,07091000,ac01,57,22,CHALK CK at Nathrop                     ,MAY-JUL VOLUME,bound_10_30_50_70_90,10.8,15.7,19.6,24,31,49,71,89,109,141,5,2010,20100607,CO
38.7336075,-106.1600183,07091000,ac01,59,27,CHALK CK at Nathrop                     ,MAY-SEP VOLUME,bound_10_30_50_70_90,12.2,18.6,24,30,39,45,69,89,111,144,5,2010,20100607,CO
38.5458306,-106.0105692,07091500,ac01,47,255,ARKANSAS RIVER at Salida (2)            ,APR-JUL VOLUME,bound_10_30_50_70_90,185,215,240,265,300,73,84,94,104,118,5,2010,20100607,CO
38.5458306,-106.0105692,07091500,ac01,49,310,ARKANSAS RIVER at Salida (2)            ,APR-SEP VOLUME,bound_10_30_50_70_90,215,260,295,330,385,69,84,95,106,124,5,2010,20100607,CO
38.5458306,-106.0105692,07091500,ac01,57,240,ARKANSAS RIVER at Salida (2)            ,MAY-JUL VOLUME,bound_10_30_50_70_90,164,194,220,245,280,68,81,92,102,117,5,2010,20100607,CO
38.5458306,-106.0105692,07091500,ac01,59,300,ARKANSAS RIVER at Salida (2)            ,MAY-SEP VOLUME,bound_10_30_50_70_90,194,240,275,310,365,65,80,92,103,122,5,2010,20100607,CO
38.1861106,-105.4836125,07095000,ac01,47,16.1,GRAPE CK nr Westcliffe                  ,APR-JUL VOLUME,bound_10_30_50_70_90,13.8,17.9,21,24,30,86,111,130,149,186,5,2010,20100607,CO
38.1861106,-105.4836125,07095000,ac01,49,19.6,GRAPE CK nr Westcliffe                  ,APR-SEP VOLUME,bound_10_30_50_70_90,16.6,21,25,29,35,85,107,128,148,179,5,2010,20100607,CO
38.1861106,-105.4836125,07095000,ac01,57,13,GRAPE CK nr Westcliffe                  ,MAY-JUL VOLUME,bound_10_30_50_70_90,8.1,12.2,15.3,18.3,24,62,94,118,141,185,5,2010,20100607,CO
38.1861106,-105.4836125,07095000,ac01,59,16.5,GRAPE CK nr Westcliffe                  ,MAY-SEP VOLUME,bound_10_30_50_70_90,10.9,15.3,19.3,23,29,66,93,117,139,176,5,2010,20100607,CO
38.2716694,-104.718033,07099400,ac01,47,385,PUEBLO RESERVOIR Inflow (2)             ,APR-JUL VOLUME,bound_10_30_50_70_90,255,325,375,430,525,66,84,97,112,136,5,2010,20100607,CO
38.2716694,-104.718033,07099400,ac01,49,485,PUEBLO RESERVOIR Inflow (2)             ,APR-SEP VOLUME,bound_10_30_50_70_90,300,395,465,545,670,62,81,96,112,138,5,2010,20100607,CO
38.2716694,-104.718033,07099400,ac01,57,350,PUEBLO RESERVOIR Inflow (2)             ,MAY-JUL VOLUME,bound_10_30_50_70_90,210,280,330,385,480,60,80,94,110,137,5,2010,20100607,CO
38.2716694,-104.718033,07099400,ac01,59,450,PUEBLO RESERVOIR Inflow (2)             ,MAY-SEP VOLUME,bound_10_30_50_70_90,255,350,420,500,625,57,78,93,111,139,5,2010,20100607,CO
37.7277817,-105.351395,07111000,ac01,47,12.3,HUERFANO RIVER nr Redwing               ,APR-JUL VOLUME,bound_10_30_50_70_90,10.8,13.3,15.1,17,20,88,108,123,138,163,5,2010,20100607,CO
37.7277817,-105.351395,07111000,ac01,49,15.5,HUERFANO RIVER nr Redwing               ,APR-SEP VOLUME,bound_10_30_50_70_90,14,16.9,19,21,25,90,109,123,135,161,5,2010,20100607,CO
37.7277817,-105.351395,07111000,ac01,57,11.2,HUERFANO RIVER nr Redwing               ,MAY-JUL VOLUME,bound_10_30_50_70_90,8.5,11,12.8,14.7,17.7,76,98,114,131,158,5,2010,20100607,CO
37.7277817,-105.351395,07111000,ac01,59,14.5,HUERFANO RIVER nr Redwing               ,MAY-SEP VOLUME,bound_10_30_50_70_90,11.7,14.6,16.7,18.7,23,81,101,115,129,159,5,2010,20100607,CO
37.4200128,-105.052778,07114000,ac01,47,11.3,CUCHARAS RIVER nr La Veta               ,APR-JUL VOLUME,bound_10_30_50_70_90,9.2,10.8,11.9,13.1,15,81,96,105,116,133,5,2010,20100607,CO
37.4200128,-105.052778,07114000,ac01,49,13,CUCHARAS RIVER nr La Veta               ,APR-SEP VOLUME,bound_10_30_50_70_90,10.1,12.1,13.6,15.2,17.7,78,93,105,117,136,5,2010,20100607,CO
37.4200128,-105.052778,07114000,ac01,57,9.9,CUCHARAS RIVER nr La Veta               ,MAY-JUL VOLUME,bound_10_30_50_70_90,7.7,9.3,10.4,11.6,13.5,78,94,105,117,136,5,2010,20100607,CO
37.4200128,-105.052778,07114000,ac01,59,11.7,CUCHARAS RIVER nr La Veta               ,MAY-SEP VOLUME,bound_10_30_50_70_90,8.6,10.6,12.1,13.7,16.2,74,91,103,117,138,5,2010,20100607,CO
37.1708522,-104.5091519,07124500,ac01,37,34,TRINIDAD LAKE Inflow (2)                ,MAR-JUL VOLUME,bound_10_30_50_70_90,34,39,44,49,57,100,115,129,144,168,5,2010,20100607,CO
37.1708522,-104.5091519,07124500,ac01,49,44,TRINIDAD LAKE Inflow (2)                ,APR-SEP VOLUME,bound_10_30_50_70_90,32,42,50,58,72,73,95,114,132,164,5,2010,20100607,CO
37.1708522,-104.5091519,07124500,ac01,57,29,TRINIDAD LAKE Inflow (2)                ,MAY-JUL VOLUME,bound_10_30_50_70_90,19.4,25,30,35,43,67,86,103,121,148,5,2010,20100607,CO
37.1708522,-104.5091519,07124500,ac01,59,40,TRINIDAD LAKE Inflow (2)                ,MAY-SEP VOLUME,bound_10_30_50_70_90,23,33,41,49,63,58,82,102,122,158,5,2010,20100607,CO
36.6805883,-104.7861069,07203000,ac01,36,7,VERMEJO RIVER nr Dawson                 ,MAR-JUN VOLUME,bound_10_30_50_70_90,4.8,6.9,8.6,10.6,14.1,69,99,123,151,201,5,2010,20100607,NM
36.6805883,-104.7861069,07203000,ac01,56,5.5,VERMEJO RIVER nr Dawson                 ,MAY-JUN VOLUME,bound_10_30_50_70_90,2.8,4.9,6.6,8.6,12.1,51,89,120,156,220,5,2010,20100607,NM
36.5319769,-105.2291733,07206000,ac01,36,11.7,EAGLE NEST RESERVOIR Inflow (2)         ,MAR-JUN VOLUME,bound_10_30_50_70_90,13.2,15.2,15.6,24,40,113,130,133,205,342,5,2010,20100607,NM
