lat,lon,ID,Basin,Target,Norm_1970_2000,Location_name,Target_Name,Prob_exceedence_levels,Fcst_min_vol,Fcst_low_vol,Fcst_mid_vol,Fcst_upp_vol,Fcst_max_vol,Fcst_min_pct,Fcst_low_pct,Fcst_mid_pct,Fcst_upp_pct,Fcst_max_pct,Issue_month,Issue_year,File_Production_date_YYYYMMDD,State
38.7336075,-106.1600183,07091000,ac01,47,23,Chalk Ck At Nathrop                     ,APR-JUL VOLUME,bound_10_30_50_70_90,14.9,21,26,31,40,65,91,113,135,174,2,2006,20060410,CO
38.7336075,-106.1600183,07091000,ac01,49,27,Chalk Ck At Nathrop                     ,APR-SEP VOLUME,bound_10_30_50_70_90,18.3,25,31,37,47,68,93,115,137,174,2,2006,20060410,CO
38.5458306,-106.0105692,07091500,ac01,47,255,Arkansas River At Salida (2)            ,APR-JUL VOLUME,bound_10_30_50_70_90,237,285,320,357,416,93,112,125,140,163,2,2006,20060410,CO
38.5458306,-106.0105692,07091500,ac01,49,310,Arkansas River At Salida (2)            ,APR-SEP VOLUME,bound_10_30_50_70_90,287,346,390,436,509,93,112,126,141,164,2,2006,20060410,CO
38.1861106,-105.4836125,07095000,ac01,47,16.1,Grape Creek Near Westcliffe             ,APR-JUL VOLUME,bound_10_30_50_70_90,2.97,5.33,10,16.2,28,18,33,62,101,174,2,2006,20060410,CO
38.1861106,-105.4836125,07095000,ac01,49,19.6,Grape Creek Near Westcliffe             ,APR-SEP VOLUME,bound_10_30_50_70_90,2.98,6.62,12.5,18.7,30,15,34,64,95,153,2,2006,20060410,CO
38.2716694,-104.718033,07099400,ac01,47,385,Pueblo Reservoir Inflow (2)             ,APR-JUL VOLUME,bound_10_30_50_70_90,268,360,430,507,631,70,94,112,132,164,2,2006,20060410,CO
38.2716694,-104.718033,07099400,ac01,49,485,Pueblo Reservoir Inflow (2)             ,APR-SEP VOLUME,bound_10_30_50_70_90,349,458,540,629,772,72,94,111,130,159,2,2006,20060410,CO
37.4200128,-105.052778,07114000,ac01,47,11.3,Cucharas River At Boyd Ranch Nr La Veta ,APR-JUL VOLUME,bound_10_30_50_70_90,1.88,3.96,5.3,7.84,12.5,17,35,47,69,111,2,2006,20060410,CO
37.4200128,-105.052778,07114000,ac01,49,13,Cucharas River At Boyd Ranch Nr La Veta ,APR-SEP VOLUME,bound_10_30_50_70_90,2.93,4.3,6.7,9.51,14.5,23,33,52,73,112,2,2006,20060410,CO
37.7277817,-105.351395,07111000,ac01,47,12.3,Huerfano River Near Redwing             ,APR-JUL VOLUME,bound_10_30_50_70_90,5.05,5.87,6.7,8.63,11.9,41,48,54,70,97,2,2006,20060410,CO
37.7277817,-105.351395,07111000,ac01,49,15.5,Huerfano River Near Redwing             ,APR-SEP VOLUME,bound_10_30_50_70_90,6.64,7.57,8.5,10.8,14.6,43,49,55,70,94,2,2006,20060410,CO
37.1708522,-104.5091519,07124500,ac01,37,34,Trinidad Lake Inflow                    ,MAR-JUL VOLUME,bound_10_30_50_70_90,6.05,12.6,18.7,28,44,18,37,55,82,129,2,2006,20060410,CO
37.1708522,-104.5091519,07124500,ac01,49,44,Trinidad Lake Inflow                    ,APR-SEP VOLUME,bound_10_30_50_70_90,11.1,17.8,27,38,59,25,40,61,86,134,2,2006,20060410,CO
36.6805883,-104.7861069,07203000,ac01,36,7,Vermejo River nr Dawson                 ,MAR-JUN VOLUME,bound_10_30_50_70_90,0.56,1.35,2.8,4.77,8.6,8,19,40,68,123,2,2006,20060410,NM
36.5319769,-105.2291733,07206000,ac01,36,11.7,Eagle Nest Reservoir Inflow             ,MAR-JUN VOLUME,bound_10_30_50_70_90,0.7,1.4,3.6,5.81,10,6,12,31,50,85,2,2006,20060410,NM
36.5197578,-104.9788914,07207000,ac01,36,15.9,Cimarron River Nr Cimarron (2)          ,MAR-JUN VOLUME,bound_10_30_50_70_90,0.48,2.4,5,8.21,14.4,3,15,31,52,91,2,2006,20060410,NM
36.5736458,-104.9466678,07207500,ac01,36,6.7,Ponil Creek nr Cimarron                 ,MAR-JUN VOLUME,bound_10_30_50_70_90,0.33,0.87,2.1,3.83,7.33,5,13,31,57,109,2,2006,20060410,NM
36.3722583,-104.9700025,07208500,ac01,36,7.1,Rayado Ck at Sauble Ranch nr Cimarron   ,MAR-JUN VOLUME,bound_10_30_50_70_90,0.71,1.32,2.4,3.81,6.47,10,19,34,54,91,2,2006,20060410,NM
35.8908731,-105.1636194,07216500,ac01,36,14.6,Mora River nr Golondrinas (2)           ,MAR-JUN VOLUME,bound_10_30_50_70_90,0.44,2.3,4.8,8.21,14.9,3,16,33,56,102,2,2006,20060410,NM
35.4078,-104.1691,07223500,ac01,36,71,Conchas Reservoir Inflow (2)            ,MAR-JUN VOLUME,bound_10_30_50_70_90,2.1,10.6,26,53,96,3,15,37,75,135,2,2006,20060410,NM
48.9846011,-119.6184097,12442500,cm01,47,1350,SIMILKAMEEN near Nighthawk (1)          ,APR-JUL VOLUME,bound_05_30_50_70_95,945,1170,1270,1370,1600,70,87,94,101,119,2,2006,20060410,WA
