lat,lon,ID,Basin,Target,Norm_1970_2000,Location_name,Target_Name,Prob_exceedence_levels,Fcst_min_vol,Fcst_low_vol,Fcst_mid_vol,Fcst_upp_vol,Fcst_max_vol,Fcst_min_pct,Fcst_low_pct,Fcst_mid_pct,Fcst_upp_pct,Fcst_max_pct,Issue_month,Issue_year,File_Production_date_YYYYMMDD,State
38.7336075,-106.1600183,07091000,ac01,47,23,Chalk Ck At Nathrop                     ,APR-JUL VOLUME,bound_10_30_50_70_90,12.5,17.3,21,25,32,54,75,91,109,139,4,2006,20060608,CO
38.7336075,-106.1600183,07091000,ac01,49,27,Chalk Ck At Nathrop                     ,APR-SEP VOLUME,bound_10_30_50_70_90,14.8,21,25,30,38,55,78,93,111,141,4,2006,20060608,CO
38.5458306,-106.0105692,07091500,ac01,47,255,Arkansas River At Salida (2)            ,APR-JUL VOLUME,bound_10_30_50_70_90,218,254,280,308,350,85,100,110,121,137,4,2006,20060608,CO
38.5458306,-106.0105692,07091500,ac01,49,310,Arkansas River At Salida (2)            ,APR-SEP VOLUME,bound_10_30_50_70_90,262,310,345,382,439,85,100,111,123,142,4,2006,20060608,CO
38.1861106,-105.4836125,07095000,ac01,47,16.1,Grape Creek Near Westcliffe             ,APR-JUL VOLUME,bound_10_30_50_70_90,1.45,3.5,8,10.8,18.5,9,22,50,67,115,4,2006,20060608,CO
38.1861106,-105.4836125,07095000,ac01,49,19.6,Grape Creek Near Westcliffe             ,APR-SEP VOLUME,bound_10_30_50_70_90,3.15,7.73,12,17.2,27,16,39,61,88,138,4,2006,20060608,CO
38.2716694,-104.718033,07099400,ac01,47,385,Pueblo Reservoir Inflow (2)             ,APR-JUL VOLUME,bound_10_30_50_70_90,226,302,360,423,525,59,78,94,110,136,4,2006,20060608,CO
38.2716694,-104.718033,07099400,ac01,49,485,Pueblo Reservoir Inflow (2)             ,APR-SEP VOLUME,bound_10_30_50_70_90,301,394,465,541,664,62,81,96,112,137,4,2006,20060608,CO
37.4200128,-105.052778,07114000,ac01,47,11.3,Cucharas River At Boyd Ranch Nr La Veta ,APR-JUL VOLUME,bound_10_30_50_70_90,1.81,2.5,3.1,4.65,7.51,16,22,27,41,66,4,2006,20060608,CO
37.4200128,-105.052778,07114000,ac01,49,13,Cucharas River At Boyd Ranch Nr La Veta ,APR-SEP VOLUME,bound_10_30_50_70_90,2.3,3,4,5.63,8.53,18,23,31,43,66,4,2006,20060608,CO
37.7277817,-105.351395,07111000,ac01,47,12.3,Huerfano River Near Redwing             ,APR-JUL VOLUME,bound_10_30_50_70_90,4.7,5.7,6.4,8.13,11,38,46,52,66,89,4,2006,20060608,CO
37.7277817,-105.351395,07111000,ac01,49,15.5,Huerfano River Near Redwing             ,APR-SEP VOLUME,bound_10_30_50_70_90,6.8,8.1,9,11.2,14.8,44,52,58,72,95,4,2006,20060608,CO
37.1708522,-104.5091519,07124500,ac01,37,34,Trinidad Lake Inflow                    ,MAR-JUL VOLUME,bound_10_30_50_70_90,4.8,8.2,13.5,20,33,14,24,40,59,97,4,2006,20060608,CO
37.1708522,-104.5091519,07124500,ac01,49,44,Trinidad Lake Inflow                    ,APR-SEP VOLUME,bound_10_30_50_70_90,8.8,16.6,25,35,53,20,38,57,80,120,4,2006,20060608,CO
37.1708522,-104.5091519,07124500,ac01,47,32,Trinidad Lake Inflow                    ,APR-JUL VOLUME,bound_10_30_50_70_90,3.5,7,12.3,19.2,33,11,22,38,60,103,4,2006,20060608,CO
36.6805883,-104.7861069,07203000,ac01,36,7,Vermejo River nr Dawson                 ,MAR-JUN VOLUME,bound_10_30_50_70_90,0.63,1.47,2.4,3.6,5.9,9,21,34,51,84,4,2006,20060608,NM
36.6805883,-104.7861069,07203000,ac01,46,6.5,Vermejo River nr Dawson                 ,APR-JUN VOLUME,bound_10_30_50_70_90,0.26,1.04,2,3,5.1,4,16,31,46,78,4,2006,20060608,NM
36.5319769,-105.2291733,07206000,ac01,36,11.7,Eagle Nest Reservoir Inflow             ,MAR-JUN VOLUME,bound_10_30_50_70_90,0.58,1.75,3,4.7,8,5,15,26,40,68,4,2006,20060608,NM
36.5319769,-105.2291733,07206000,ac01,46,9.6,Eagle Nest Reservoir Inflow             ,APR-JUN VOLUME,bound_10_30_50_70_90,0.29,1.44,2.7,4.4,7.6,3,15,28,46,79,4,2006,20060608,NM
36.5197578,-104.9788914,07207000,ac01,36,15.9,Cimarron River Nr Cimarron (2)          ,MAR-JUN VOLUME,bound_10_30_50_70_90,0.64,1.91,3.7,6,10.7,4,12,23,38,67,4,2006,20060608,NM
36.5197578,-104.9788914,07207000,ac01,46,12.5,Cimarron River Nr Cimarron (2)          ,APR-JUN VOLUME,bound_10_30_50_70_90,0.13,1.63,3.3,5.6,10.3,1,13,26,45,82,4,2006,20060608,NM
36.5736458,-104.9466678,07207500,ac01,36,6.7,Ponil Creek nr Cimarron                 ,MAR-JUN VOLUME,bound_10_30_50_70_90,0.33,0.74,1.7,3.1,6.2,5,11,25,46,93,4,2006,20060608,NM
36.5736458,-104.9466678,07207500,ac01,46,6.3,Ponil Creek nr Cimarron                 ,APR-JUN VOLUME,bound_10_30_50_70_90,0.19,0.57,1.53,3,6,3,9,24,48,95,4,2006,20060608,NM
36.3722583,-104.9700025,07208500,ac01,36,7.1,Rayado Ck at Sauble Ranch nr Cimarron   ,MAR-JUN VOLUME,bound_10_30_50_70_90,0.71,1.42,1.95,3.1,5.2,10,20,27,44,73,4,2006,20060608,NM
36.3722583,-104.9700025,07208500,ac01,46,6.5,Rayado Ck at Sauble Ranch nr Cimarron   ,APR-JUN VOLUME,bound_10_30_50_70_90,0.46,1.11,1.67,2.5,4.5,7,17,26,38,69,4,2006,20060608,NM
35.8908731,-105.1636194,07216500,ac01,36,14.6,Mora River nr Golondrinas (2)           ,MAR-JUN VOLUME,bound_10_30_50_70_90,0.29,0.88,2.2,4.8,11.4,2,6,15,33,78,4,2006,20060608,NM
