lat,lon,ID,Basin,Target,Norm_1970_2000,Location_name,Target_Name,Prob_exceedence_levels,Fcst_min_vol,Fcst_low_vol,Fcst_mid_vol,Fcst_upp_vol,Fcst_max_vol,Fcst_min_pct,Fcst_low_pct,Fcst_mid_pct,Fcst_upp_pct,Fcst_max_pct,Issue_month,Issue_year,File_Production_date_YYYYMMDD,State
38.7336075,-106.1600183,07091000,ac01,47,23,Chalk Ck At Nathrop                     ,APR-JUL VOLUME,bound_10_30_50_70_90,14.2,21,26,32,41,62,91,113,139,178,1,2006,20060410,CO
38.7336075,-106.1600183,07091000,ac01,49,27,Chalk Ck At Nathrop                     ,APR-SEP VOLUME,bound_10_30_50_70_90,16.9,24,30,36,47,63,89,111,133,174,1,2006,20060410,CO
38.5458306,-106.0105692,07091500,ac01,47,255,Arkansas River At Salida (2)            ,APR-JUL VOLUME,bound_10_30_50_70_90,227,278,315,355,417,89,109,124,139,164,1,2006,20060410,CO
38.5458306,-106.0105692,07091500,ac01,49,310,Arkansas River At Salida (2)            ,APR-SEP VOLUME,bound_10_30_50_70_90,281,341,385,432,505,91,110,124,139,163,1,2006,20060410,CO
38.1861106,-105.4836125,07095000,ac01,47,16.1,Grape Creek Near Westcliffe             ,APR-JUL VOLUME,bound_10_30_50_70_90,1.75,6.88,12.3,19.3,32,11,43,76,120,199,1,2006,20060410,CO
38.1861106,-105.4836125,07095000,ac01,49,19.6,Grape Creek Near Westcliffe             ,APR-SEP VOLUME,bound_10_30_50_70_90,4.77,10.2,15,21,31,24,52,77,107,158,1,2006,20060410,CO
38.2716694,-104.718033,07099400,ac01,47,385,Pueblo Reservoir Inflow (2)             ,APR-JUL VOLUME,bound_10_30_50_70_90,279,376,450,531,661,72,98,117,138,172,1,2006,20060410,CO
38.2716694,-104.718033,07099400,ac01,49,485,Pueblo Reservoir Inflow (2)             ,APR-SEP VOLUME,bound_10_30_50_70_90,363,475,560,652,799,75,98,115,134,165,1,2006,20060410,CO
37.4200128,-105.052778,07114000,ac01,47,11.3,Cucharas River At Boyd Ranch Nr La Veta ,APR-JUL VOLUME,bound_10_30_50_70_90,2.92,5.14,8,11.5,17.8,26,45,71,102,158,1,2006,20060410,CO
37.4200128,-105.052778,07114000,ac01,49,13,Cucharas River At Boyd Ranch Nr La Veta ,APR-SEP VOLUME,bound_10_30_50_70_90,4.23,6.39,9.5,13.2,19.8,33,49,73,102,152,1,2006,20060410,CO
37.7277817,-105.351395,07111000,ac01,47,12.3,Huerfano River Near Redwing             ,APR-JUL VOLUME,bound_10_30_50_70_90,4.99,7.4,9.3,11.4,14.9,41,60,76,93,121,1,2006,20060410,CO
37.7277817,-105.351395,07111000,ac01,49,15.5,Huerfano River Near Redwing             ,APR-SEP VOLUME,bound_10_30_50_70_90,6.72,9.57,11.8,14.3,18.3,43,62,76,92,118,1,2006,20060410,CO
37.1708522,-104.5091519,07124500,ac01,37,34,Trinidad Lake Inflow                    ,MAR-JUL VOLUME,bound_10_30_50_70_90,6.16,15.4,24,35,54,18,45,71,103,159,1,2006,20060410,CO
37.1708522,-104.5091519,07124500,ac01,49,44,Trinidad Lake Inflow                    ,APR-SEP VOLUME,bound_10_30_50_70_90,14.1,23,33,45,66,32,52,75,102,150,1,2006,20060410,CO
36.6805883,-104.7861069,07203000,ac01,36,7,Vermejo River nr Dawson                 ,MAR-JUN VOLUME,bound_10_30_50_70_90,0.63,2.07,4,6.56,11.49,9,30,57,94,164,1,2006,20060410,NM
36.5319769,-105.2291733,07206000,ac01,36,11.7,Eagle Nest Reservoir Inflow             ,MAR-JUN VOLUME,bound_10_30_50_70_90,0.94,3.33,6,9.45,15.9,8,28,51,81,136,1,2006,20060410,NM
36.5197578,-104.9788914,07207000,ac01,36,15.9,Cimarron River Nr Cimarron (2)          ,MAR-JUN VOLUME,bound_10_30_50_70_90,1,4.36,8,12.7,22,6,27,50,80,138,1,2006,20060410,NM
36.5736458,-104.9466678,07207500,ac01,36,6.7,Ponil Creek nr Cimarron                 ,MAR-JUN VOLUME,bound_10_30_50_70_90,0.38,1.94,3.7,6.02,10.45,6,29,55,90,156,1,2006,20060410,NM
36.3722583,-104.9700025,07208500,ac01,36,7.1,Rayado Ck at Sauble Ranch nr Cimarron   ,MAR-JUN VOLUME,bound_10_30_50_70_90,0.9,2.1,3.6,5.5,9.01,13,30,51,77,127,1,2006,20060410,NM
35.8908731,-105.1636194,07216500,ac01,36,14.6,Mora River nr Golondrinas (2)           ,MAR-JUN VOLUME,bound_10_30_50_70_90,0.58,2.84,6,10.3,18.8,4,19,41,71,129,1,2006,20060410,NM
35.4078,-104.1691,07223500,ac01,36,71,Conchas Reservoir Inflow (2)            ,MAR-JUN VOLUME,bound_10_30_50_70_90,3.5,14.3,30,54,110,5,20,42,76,155,1,2006,20060410,NM
48.9846011,-119.6184097,12442500,cm01,47,1350,SIMILKAMEEN near Nighthawk (1)          ,APR-JUL VOLUME,bound_05_30_50_70_95,600,820,970,1180,1630,44,61,72,87,121,1,2006,20060410,WA
48.9846011,-119.6184097,12442500,cm01,49,1450,SIMILKAMEEN near Nighthawk (1)          ,APR-SEP VOLUME,bound_05_30_50_70_95,612,867,1040,1280,1810,42,60,72,88,125,1,2006,20060410,WA
48.632375,-119.461723,12445000,cm01,47,1580,OKANOGAN near Tonasket (1)              ,APR-JUL VOLUME,bound_05_30_50_70_95,650,900,1070,1320,1870,41,57,68,84,118,1,2006,20060410,WA
48.632375,-119.461723,12445000,cm01,49,1770,OKANOGAN near Tonasket (1)              ,APR-SEP VOLUME,bound_05_30_50_70_95,696,996,1200,1500,2160,39,56,68,85,122,1,2006,20060410,WA
48.28138889,-119.7033333,12447200,cm01,47,1635,OKANOGAN at Malott (1)                  ,APR-JUL VOLUME,bound_05_30_50_70_95,670,926,1100,1360,1930,41,57,67,83,118,1,2006,20060410,WA
48.28138889,-119.7033333,12447200,cm01,49,1826,OKANOGAN at Malott (1)                  ,APR-SEP VOLUME,bound_05_30_50_70_95,717,1023,1230,1540,2220,39,56,67,84,122,1,2006,20060410,WA
48.5332044,-119.7483994,12446500,cm01,47,18.7,Salmon Creek nr Conconully              ,APR-JUL VOLUME,bound_10_30_50_70_90,5.18,9.36,12.9,17,24,28,50,69,91,128,1,2006,20060410,WA
48.5332044,-119.7483994,12446500,cm01,49,19.7,Salmon Creek nr Conconully              ,APR-SEP VOLUME,bound_10_30_50_70_90,5.24,9.69,13.5,17.9,26,27,49,69,91,132,1,2006,20060410,WA
48.8340404,-119.6967417,12442000,cm01,47,28,TOATS COULEE CREEK nr Loomis            ,APR-JUL VOLUME,bound_10_30_50_70_90,4.6,13.8,20,29,41,16,49,71,104,146,1,2006,20060410,WA
48.8340404,-119.6967417,12442000,cm01,49,30,TOATS COULEE CREEK nr Loomis            ,APR-SEP VOLUME,bound_10_30_50_70_90,5.5,14.7,21,30,43,18,49,70,100,143,1,2006,20060410,WA
48.4287567,-120.0211883,12449600,cm01,47,11.1,Beaver Creek blw SF nr Twisp            ,APR-JUL VOLUME,bound_10_30_50_70_90,2,5.9,8.5,11.9,17,18,53,77,107,153,1,2006,20060410,WA
48.4287567,-120.0211883,12449600,cm01,49,12.1,Beaver Creek blw SF nr Twisp            ,APR-SEP VOLUME,bound_10_30_50_70_90,2.6,6.5,9.2,12.7,17.9,21,54,76,105,148,1,2006,20060410,WA
48.0773639,-119.9850722,12449950,cm01,47,910,METHOW RIVER near Pateros               ,APR-JUL VOLUME,bound_10_30_50_70_90,390,555,670,785,955,43,61,74,86,105,1,2006,20060410,WA
48.0773639,-119.9850722,12449950,cm01,49,985,METHOW RIVER near Pateros               ,APR-SEP VOLUME,bound_10_30_50_70_90,330,565,725,885,1120,34,57,74,90,114,1,2006,20060410,WA
48.3295803,-120.6917669,12451000,cm01,47,700,STEHEKIN near STEHEKIN                  ,APR-JUL VOLUME,bound_10_30_50_70_90,510,555,585,615,660,73,79,84,88,94,1,2006,20060410,WA
48.3295803,-120.6917669,12451000,cm01,49,830,STEHEKIN near STEHEKIN                  ,APR-SEP VOLUME,bound_10_30_50_70_90,585,650,695,740,805,70,78,84,89,97,1,2006,20060410,WA
47.8345808,-120.0131253,12452500,cm01,47,1050,CHELAN RIVER near Chelan                ,APR-JUL VOLUME,bound_10_30_50_70_90,725,795,845,890,960,69,76,80,85,91,1,2006,20060410,WA
47.8345808,-120.0131253,12452500,cm01,49,1190,CHELAN RIVER near Chelan                ,APR-SEP VOLUME,bound_10_30_50_70_90,810,900,960,1020,1110,68,76,81,86,93,1,2006,20060410,WA
47.8184617,-120.4231439,12452800,cm01,47,215,ENTIAT RIVER nr Ardenvoir               ,APR-JUL VOLUME,bound_10_30_50_70_90,103,143,170,198,238,48,67,79,92,111,1,2006,20060410,WA
47.8184617,-120.4231439,12452800,cm01,49,240,ENTIAT RIVER nr Ardenvoir               ,APR-SEP VOLUME,bound_10_30_50_70_90,118,161,190,217,262,49,67,79,90,109,1,2006,20060410,WA
47.7628994,-120.6662039,12457000,cm01,47,1080,WENATCHEE at Plain                      ,APR-JUL VOLUME,bound_10_30_50_70_90,650,790,885,985,1125,60,73,82,91,104,1,2006,20060410,WA
47.7628994,-120.6662039,12457000,cm01,49,1200,WENATCHEE at Plain                      ,APR-SEP VOLUME,bound_10_30_50_70_90,695,865,985,1105,1275,58,72,82,92,106,1,2006,20060410,WA
47.3736,-120.2499,12457005,cm01,59,138,STEMILT CK nr Wenatchee (miner's in)    ,MAY-SEP VOLUME,bound_10_30_50_70_90,48,85,110,135,170,35,62,80,98,123,1,2006,20060410,WA
47.5409539,-120.7200872,12458000,cm01,47,320,ICICLE CREEK near Leavenworth           ,APR-JUL VOLUME,bound_10_30_50_70_90,205,240,265,290,325,64,75,83,91,102,1,2006,20060410,WA
47.5409539,-120.7200872,12458000,cm01,49,345,ICICLE CREEK near Leavenworth           ,APR-SEP VOLUME,bound_10_30_50_70_90,220,260,285,310,350,64,75,83,90,101,1,2006,20060410,WA
47.5831778,-120.613975,12459000,cm01,47,1480,WENATCHEE R. at Peshastin               ,APR-JUL VOLUME,bound_10_30_50_70_90,669,991,1210,1430,1750,45,67,82,97,118,1,2006,20060410,WA
47.5831778,-120.613975,12459000,cm01,49,1640,WENATCHEE R. at Peshastin               ,APR-SEP VOLUME,bound_10_30_50_70_90,870,1150,1340,1530,1810,53,70,82,93,110,1,2006,20060410,WA
47.3323517,-120.0811708,12462600,cm01,47,59000,COLUMBIA R. bl Rock Island Dam (2)      ,APR-JUL VOLUME,bound_10_30_50_70_90,37135,47236,54100,60960,71060,63,80,92,103,120,1,2006,20060410,WA
47.3323517,-120.0811708,12462600,cm01,49,69500,COLUMBIA R. bl Rock Island Dam (2)      ,APR-SEP VOLUME,bound_10_30_50_70_90,43360,57339,63700,70060,84370,62,83,92,101,121,1,2006,20060410,WA
47.3212242,-121.3362047,12474500,cm01,47,121,KEECHELUS LAKE INFLOW                   ,APR-JUL VOLUME,bound_10_30_50_70_90,60,82,97,112,134,50,68,80,93,111,1,2006,20060410,WA
47.3212242,-121.3362047,12474500,cm01,49,133,KEECHELUS LAKE INFLOW                   ,APR-SEP VOLUME,bound_10_30_50_70_90,67,91,107,123,147,50,68,80,92,111,1,2006,20060410,WA
47.2612261,-121.2034242,12476000,cm01,47,111,KACHESS LAKE INFLOW                     ,APR-JUL VOLUME,bound_10_30_50_70_90,52,74,88,102,124,47,67,79,92,112,1,2006,20060410,WA
47.2612261,-121.2034242,12476000,cm01,49,120,KACHESS LAKE INFLOW                     ,APR-SEP VOLUME,bound_10_30_50_70_90,57,80,95,110,133,48,67,79,92,111,1,2006,20060410,WA
47.2445622,-121.0678642,12479000,cm01,47,410,CLE ELUM LAKE INFLOW                    ,APR-JUL VOLUME,bound_10_30_50_70_90,225,290,330,370,435,55,71,80,90,106,1,2006,20060410,WA
47.2445622,-121.0678642,12479000,cm01,49,450,CLE ELUM LAKE INFLOW                    ,APR-SEP VOLUME,bound_10_30_50_70_90,245,315,360,405,475,54,70,80,90,106,1,2006,20060410,WA
