Issue_year,Issue_month,Target_Name,Prob_exceedence_levels,Fcst_min_vol,Fcst_low_vol,Fcst_mid_vol,Fcst_upp_vol,Fcst_max_vol,Fcst_min_pct,Fcst_low_pct,Fcst_mid_pct,Fcst_upp_pct,Fcst_max_pct,Location
2004,3,APR-SEP VOLUME,bound_10_30_50_70_90,258,325,370,415,482,67,84,96,108,125,Williamson R near Chiloquin
2004,4,APR-SEP VOLUME,bound_10_30_50_70_90,172,233,275,317,378,45,61,71,82,98,Williamson R near Chiloquin
2004,5,MAY-SEP VOLUME,bound_10_30_50_70_90,89,146,185,224,281,34,55,70,85,106,Williamson R near Chiloquin
2005,1,APR-SEP VOLUME,bound_10_30_50_70_90,183,253,300,347,417,48,66,78,90,108,Williamson R near Chiloquin
2005,2,APR-SEP VOLUME,bound_10_30_50_70_90,160,215,255,295,350,42,56,66,77,91,Williamson R near Chiloquin
2005,3,APR-SEP VOLUME,bound_10_30_50_70_90,135,177,205,235,275,35,46,53,61,71,Williamson R near Chiloquin
2005,4,APR-SEP VOLUME,bound_10_30_50_70_90,140,170,185,200,230,36,44,48,52,60,Williamson R near Chiloquin
2005,5,MAY-SEP VOLUME,bound_10_30_50_70_90,96,121,138,155,180,36,45,52,58,67,Williamson R near Chiloquin
2005,6,JUN-SEP VOLUME,bound_10_30_50_70_90,100,110,117,124,134,62,68,72,77,83,Williamson R near Chiloquin
2006,1,APR-SEP VOLUME,bound_10_30_50_70_90,373,443,490,537,607,97,115,127,139,158,Williamson R near Chiloquin
2006,2,APR-SEP VOLUME,bound_10_30_50_70_90,447,502,540,578,633,116,130,140,150,164,Williamson R near Chiloquin
2006,3,APR-SEP VOLUME,bound_10_30_50_70_90,465,507,535,563,605,121,132,139,146,157,Williamson R near Chiloquin
2006,4,APR-SEP VOLUME,bound_10_30_50_70_90,507,568,610,653,715,132,148,158,170,186,Williamson R near Chiloquin
2006,5,MAY-SEP VOLUME,bound_10_30_50_70_90,378,403,420,437,462,142,151,157,164,173,Williamson R near Chiloquin
2006,6,JUN-SEP VOLUME,bound_10_30_50_70_90,217,227,234,241,251,134,140,144,149,155,Williamson R near Chiloquin
2007,1,APR-SEP VOLUME,bound_10_30_50_70_90,233,303,350,397,467,61,79,91,103,121,Williamson R near Chiloquin
2007,2,APR-SEP VOLUME,bound_10_30_50_70_90,167,222,260,298,353,43,58,68,77,92,Williamson R near Chiloquin
2007,3,APR-SEP VOLUME,bound_10_30_50_70_90,235,277,305,333,375,61,72,79,86,97,Williamson R near Chiloquin
2007,4,APR-SEP VOLUME,bound_10_30_50_70_90,217,243,260,277,303,56,63,68,72,79,Williamson R near Chiloquin
2007,5,MAY-SEP VOLUME,bound_10_30_50_70_90,144,169,186,203,228,54,63,70,76,85,Williamson R near Chiloquin
2007,6,JUN-SEP VOLUME,bound_10_30_50_70_90,76,86,93,100,110,47,53,57,62,68,Williamson R near Chiloquin
2008,1,APR-SEP VOLUME,bound_10_30_50_70_90,167,245,300,355,435,43,64,78,92,113,Williamson R near Chiloquin
2008,2,APR-SEP VOLUME,bound_10_30_50_70_90,270,335,375,415,480,70,87,97,108,125,Williamson R near Chiloquin
2008,3,APR-SEP VOLUME,bound_10_30_50_70_90,285,340,375,410,465,74,88,97,106,121,Williamson R near Chiloquin
2008,4,APR-SEP VOLUME,bound_10_30_50_70_90,325,360,385,410,445,84,94,100,106,116,Williamson R near Chiloquin
2008,5,MAY-SEP VOLUME,bound_10_30_50_70_90,200,235,260,285,320,75,89,98,108,121,Williamson R near Chiloquin
2008,6,JUN-SEP VOLUME,bound_10_30_50_70_90,131,148,160,172,189,81,91,99,106,117,Williamson R near Chiloquin
2009,1,APR-SEP VOLUME,bound_10_30_50_70_90,205,285,340,395,475,53,74,88,103,123,Williamson R near Chiloquin
2009,2,APR-SEP VOLUME,bound_10_30_50_70_90,185,250,290,330,395,48,65,75,86,103,Williamson R near Chiloquin
2009,3,APR-SEP VOLUME,bound_10_30_50_70_90,192,245,280,315,370,50,64,73,82,96,Williamson R near Chiloquin
2009,4,APR-SEP VOLUME,bound_10_30_50_70_90,245,280,305,330,365,64,73,79,86,95,Williamson R near Chiloquin
2009,5,MAY-SEP VOLUME,bound_10_30_50_70_90,168,199,220,240,270,63,75,83,91,102,Williamson R near Chiloquin
2009,6,JUN-SEP VOLUME,bound_10_30_50_70_90,111,128,140,152,169,69,79,86,94,104,Williamson R near Chiloquin
2010,1,APR-SEP VOLUME,bound_10_30_50_70_90,157,235,290,345,425,41,61,75,90,110,Williamson R near Chiloquin
2010,2,APR-SEP VOLUME,bound_10_30_50_70_90,181,245,285,325,390,47,64,74,84,101,Williamson R near Chiloquin
2010,3,APR-SEP VOLUME,bound_10_30_50_70_90,151,205,240,275,330,39,53,62,71,86,Williamson R near Chiloquin
2010,4,APR-SEP VOLUME,bound_10_30_50_70_90,186,220,245,270,305,48,57,64,70,79,Williamson R near Chiloquin
2010,5,MAY-SEP VOLUME,bound_10_30_50_70_90,123,154,175,196,225,46,58,66,74,85,Williamson R near Chiloquin
2010,6,JUN-SEP VOLUME,bound_10_30_50_70_90,78,95,107,119,136,48,59,66,73,84,Williamson R near Chiloquin
2011,1,APR-SEP VOLUME,bound_10_30_50_70_90,330,410,465,520,600,86,106,121,135,156,Williamson R near Chiloquin
2011,2,APR-SEP VOLUME,bound_10_30_50_70_90,285,350,390,430,495,74,91,101,112,129,Williamson R near Chiloquin
2011,3,APR-SEP VOLUME,bound_10_30_50_70_90,285,340,375,410,465,74,88,97,106,121,Williamson R near Chiloquin
2011,4,APR-SEP VOLUME,bound_10_30_50_70_90,415,450,475,500,535,108,117,123,130,139,Williamson R near Chiloquin
2011,5,MAY-SEP VOLUME,bound_10_30_50_70_90,300,330,350,370,400,113,125,132,140,151,Williamson R near Chiloquin
2012,1,APR-SEP VOLUME,bound_10_30_50_70_90,103,182,235,289,368,27,47,61,75,96,Williamson R near Chiloquin
2012,6,JUN-SEP VOLUME,bound_10_30_50_70_90,116,133,145,157,174,72,82,90,97,107,Williamson R near Chiloquin
2013,1,APR-SEP VOLUME,bound_10_30_50_70_90,237,316,370,424,503,67,89,104,119,142,Williamson R near Chiloquin
2013,2,APR-SEP VOLUME,bound_10_30_50_70_90,231,293,335,377,439,65,83,94,106,124,Williamson R near Chiloquin
2013,3,APR-SEP VOLUME,bound_10_30_50_70_90,216,269,305,341,394,61,76,86,96,111,Williamson R near Chiloquin
2013,4,APR-SEP VOLUME,bound_10_30_50_70_90,171,206,230,254,289,48,58,65,72,81,Williamson R near Chiloquin
2013,5,MAY-SEP VOLUME,bound_10_30_50_70_90,93,124,145,166,197,38,51,59,68,80,Williamson R near Chiloquin
2014,1,APR-SEP VOLUME,bound_10_30_50_70_90,47,126,180,235,315,13,35,51,66,89,Williamson R near Chiloquin
2014,2,APR-SEP VOLUME,bound_10_30_50_70_90,26,88,130,172,234,7,25,37,48,66,Williamson R near Chiloquin
2014,3,APR-SEP VOLUME,bound_10_30_50_70_90,66,119,155,191,244,19,34,44,54,69,Williamson R near Chiloquin
2014,4,APR-SEP VOLUME,bound_10_30_50_70_90,121,156,180,204,239,34,44,51,57,67,Williamson R near Chiloquin
2015,1,APR-SEP VOLUME,bound_10_30_50_70_90,115,196,200,305,385,32,55,56,86,108,Williamson R near Chiloquin
2015,2,APR-SEP VOLUME,bound_10_30_50_70_90,96,158,200,240,305,27,45,56,68,86,Williamson R near Chiloquin
2015,3,APR-SEP VOLUME,bound_10_30_50_70_90,80,133,169,205,258,23,37,48,58,73,Williamson R near Chiloquin
2015,4,APR-SEP VOLUME,bound_10_30_50_70_90,96,131,155,179,214,27,37,44,50,60,Williamson R near Chiloquin
2015,5,MAY-SEP VOLUME,bound_10_30_50_70_90,68,99,120,141,172,28,40,49,58,70,Williamson R near Chiloquin
2016,1,APR-SEP VOLUME,bound_10_30_50_70_90,255,335,390,445,525,72,94,110,125,148,Williamson R near Chiloquin
2016,2,APR-SEP VOLUME,bound_10_30_50_70_90,265,325,370,410,475,75,92,104,115,134,Williamson R near Chiloquin
2016,3,APR-SEP VOLUME,bound_10_30_50_70_90,205,260,315,330,385,58,73,89,93,108,Williamson R near Chiloquin
2016,4,APR-SEP VOLUME,bound_10_30_50_70_90,270,305,330,355,390,76,86,93,100,110,Williamson R near Chiloquin
2017,1,APR-SEP VOLUME,bound_10_30_50_70_90,510,420,365,305,220,144,118,103,86,62,Williamson R near Chiloquin
