lat,lon,ID,Basin,Target,Norm_1970_2000,Location_name,Target_Name,Prob_exceedence_levels,Fcst_min_vol,Fcst_low_vol,Fcst_mid_vol,Fcst_upp_vol,Fcst_max_vol,Fcst_min_pct,Fcst_low_pct,Fcst_mid_pct,Fcst_upp_pct,Fcst_max_pct,Issue_month,Issue_year,File_Production_date_YYYYMMDD,State
38.7336075,-106.1600183,07091000,ac01,47,23,CHALK CK at Nathrop                     ,APR-JUL VOLUME,bound_10_30_50_70_90,12,18.1,23,28,37,52,79,100,122,161,1,2010,20100301,CO
38.7336075,-106.1600183,07091000,ac01,49,27,CHALK CK at Nathrop                     ,APR-SEP VOLUME,bound_10_30_50_70_90,14.7,22,27,33,43,54,81,100,122,159,1,2010,20100301,CO
38.5458306,-106.0105692,07091500,ac01,47,255,ARKANSAS RIVER at Salida (2)            ,APR-JUL VOLUME,bound_10_30_50_70_90,156,198,230,265,320,61,78,90,104,125,1,2010,20100301,CO
38.5458306,-106.0105692,07091500,ac01,49,310,ARKANSAS RIVER at Salida (2)            ,APR-SEP VOLUME,bound_10_30_50_70_90,192,245,280,320,385,62,79,90,103,124,1,2010,20100301,CO
38.1861106,-105.4836125,07095000,ac01,47,16.1,GRAPE CK nr Westcliffe                  ,APR-JUL VOLUME,bound_10_30_50_70_90,3.8,10.6,17.2,25,40,24,66,107,155,248,1,2010,20100301,CO
38.1861106,-105.4836125,07095000,ac01,49,19.6,GRAPE CK nr Westcliffe                  ,APR-SEP VOLUME,bound_10_30_50_70_90,8.4,15.2,21,28,39,43,78,107,143,199,1,2010,20100301,CO
38.2716694,-104.718033,07099400,ac01,47,385,PUEBLO RESERVOIR Inflow (2)             ,APR-JUL VOLUME,bound_10_30_50_70_90,220,310,375,450,570,57,81,97,117,148,1,2010,20100301,CO
38.2716694,-104.718033,07099400,ac01,49,485,PUEBLO RESERVOIR Inflow (2)             ,APR-SEP VOLUME,bound_10_30_50_70_90,290,395,470,555,690,60,81,97,114,142,1,2010,20100301,CO
37.7277817,-105.351395,07111000,ac01,47,12.3,HUERFANO RIVER nr Redwing               ,APR-JUL VOLUME,bound_10_30_50_70_90,6.7,9.5,11.6,14,17.8,54,77,94,114,145,1,2010,20100301,CO
37.7277817,-105.351395,07111000,ac01,49,15.5,HUERFANO RIVER nr Redwing               ,APR-SEP VOLUME,bound_10_30_50_70_90,8.8,12,14.5,17.2,22,57,77,94,111,142,1,2010,20100301,CO
37.4200128,-105.052778,07114000,ac01,47,11.3,CUCHARAS RIVER nr La Veta               ,APR-JUL VOLUME,bound_10_30_50_70_90,4,8,11.5,15.6,23,35,71,102,138,204,1,2010,20100301,CO
37.4200128,-105.052778,07114000,ac01,49,13,CUCHARAS RIVER nr La Veta               ,APR-SEP VOLUME,bound_10_30_50_70_90,5.1,9.5,13.2,17.5,25,39,73,102,135,192,1,2010,20100301,CO
37.1708522,-104.5091519,07124500,ac01,37,34,TRINIDAD LAKE Inflow (2)                ,MAR-JUL VOLUME,bound_10_30_50_70_90,9.9,21,31,43,64,29,62,91,126,188,1,2010,20100301,CO
