lat,lon,ID,Basin,Target,Norm_1970_2000,Location_name,Target_Name,Prob_exceedence_levels,Fcst_min_vol,Fcst_low_vol,Fcst_mid_vol,Fcst_upp_vol,Fcst_max_vol,Fcst_min_pct,Fcst_low_pct,Fcst_mid_pct,Fcst_upp_pct,Fcst_max_pct,Issue_month,Issue_year,File_Production_date_YYYYMMDD,State
38.7336075,-106.1600183,07091000,ac01,47,23,CHALK CK at Nathrop                     ,APR-JUL VOLUME,bound_10_30_50_70_90,13.4,16.2,18.6,21,25,58,70,81,91,109,6,2010,20100607,CO
38.7336075,-106.1600183,07091000,ac01,49,27,CHALK CK at Nathrop                     ,APR-SEP VOLUME,bound_10_30_50_70_90,14.8,18.6,22,25,31,55,69,81,93,115,6,2010,20100607,CO
38.7336075,-106.1600183,07091000,ac01,67,18,CHALK CK at Nathrop                     ,JUN-JUL VOLUME,bound_10_30_50_70_90,5.3,8.1,10.4,12.9,17.2,29,45,58,72,96,6,2010,20100607,CO
38.7336075,-106.1600183,07091000,ac01,69,23,CHALK CK at Nathrop                     ,JUN-SEP VOLUME,bound_10_30_50_70_90,6.6,10.5,13.8,16.8,23,29,46,60,73,100,6,2010,20100607,CO
38.5458306,-106.0105692,07091500,ac01,47,255,ARKANSAS RIVER at Salida (2)            ,APR-JUL VOLUME,bound_10_30_50_70_90,160,191,215,240,280,63,75,84,94,110,6,2010,20100607,CO
38.5458306,-106.0105692,07091500,ac01,49,310,ARKANSAS RIVER at Salida (2)            ,APR-SEP VOLUME,bound_10_30_50_70_90,182,225,260,295,355,59,73,84,95,115,6,2010,20100607,CO
38.5458306,-106.0105692,07091500,ac01,67,187,ARKANSAS RIVER at Salida (2)            ,JUN-JUL VOLUME,bound_10_30_50_70_90,89,120,144,170,210,48,64,77,91,112,6,2010,20100607,CO
38.5458306,-106.0105692,07091500,ac01,69,245,ARKANSAS RIVER at Salida (2)            ,JUN-SEP VOLUME,bound_10_30_50_70_90,111,155,189,225,285,45,63,77,92,116,6,2010,20100607,CO
38.1861106,-105.4836125,07095000,ac01,47,16.1,GRAPE CK nr Westcliffe                  ,APR-JUL VOLUME,bound_10_30_50_70_90,11.2,14,16.3,19.1,24,70,87,101,119,149,6,2010,20100607,CO
38.1861106,-105.4836125,07095000,ac01,49,19.6,GRAPE CK nr Westcliffe                  ,APR-SEP VOLUME,bound_10_30_50_70_90,13.2,16.8,19.8,23,29,67,86,101,117,148,6,2010,20100607,CO
