lat,lon,ID,Basin,Target,Norm_1970_2000,Location_name,Target_Name,Prob_exceedence_levels,Fcst_min_vol,Fcst_low_vol,Fcst_mid_vol,Fcst_upp_vol,Fcst_max_vol,Fcst_min_pct,Fcst_low_pct,Fcst_mid_pct,Fcst_upp_pct,Fcst_max_pct,Issue_month,Issue_year,File_Production_date_YYYYMMDD,State
38.7336075,-106.1600183,07091000,ac01,47,23,Chalk Ck At Nathrop                     ,APR-JUL VOLUME,bound_10_30_50_70_90,14,19.6,24,29,37,61,85,104,126,161,3,2006,20060505,CO
38.7336075,-106.1600183,07091000,ac01,49,27,Chalk Ck At Nathrop                     ,APR-SEP VOLUME,bound_10_30_50_70_90,17.3,24,29,35,44,64,89,107,130,163,3,2006,20060505,CO
38.5458306,-106.0105692,07091500,ac01,47,255,Arkansas River At Salida (2)            ,APR-JUL VOLUME,bound_10_30_50_70_90,221,264,295,328,380,87,104,116,129,149,3,2006,20060505,CO
38.5458306,-106.0105692,07091500,ac01,49,310,Arkansas River At Salida (2)            ,APR-SEP VOLUME,bound_10_30_50_70_90,266,320,360,402,468,86,103,116,130,151,3,2006,20060505,CO
38.1861106,-105.4836125,07095000,ac01,47,16.1,Grape Creek Near Westcliffe             ,APR-JUL VOLUME,bound_10_30_50_70_90,0.97,3.54,7.3,12.4,22,6,22,45,77,137,3,2006,20060505,CO
38.1861106,-105.4836125,07095000,ac01,49,19.6,Grape Creek Near Westcliffe             ,APR-SEP VOLUME,bound_10_30_50_70_90,1.24,5,9,14.2,24,6,26,46,72,122,3,2006,20060505,CO
38.2716694,-104.718033,07099400,ac01,47,385,Pueblo Reservoir Inflow (2)             ,APR-JUL VOLUME,bound_10_30_50_70_90,245,330,395,466,580,64,86,103,121,151,3,2006,20060505,CO
38.2716694,-104.718033,07099400,ac01,49,485,Pueblo Reservoir Inflow (2)             ,APR-SEP VOLUME,bound_10_30_50_70_90,316,418,495,579,714,65,86,102,119,147,3,2006,20060505,CO
37.4200128,-105.052778,07114000,ac01,47,11.3,Cucharas River At Boyd Ranch Nr La Veta ,APR-JUL VOLUME,bound_10_30_50_70_90,1.47,1.92,3.1,4.97,8.53,13,17,27,44,75,3,2006,20060505,CO
37.4200128,-105.052778,07114000,ac01,49,13,Cucharas River At Boyd Ranch Nr La Veta ,APR-SEP VOLUME,bound_10_30_50_70_90,2.2,2.44,4.1,6.19,10,17,19,32,48,77,3,2006,20060505,CO
