lat,lon,ID,Basin,Target,Norm_1970_2000,Location_name,Target_Name,Prob_exceedence_levels,Fcst_min_vol,Fcst_low_vol,Fcst_mid_vol,Fcst_upp_vol,Fcst_max_vol,Fcst_min_pct,Fcst_low_pct,Fcst_mid_pct,Fcst_upp_pct,Fcst_max_pct,Issue_month,Issue_year,File_Production_date_YYYYMMDD,State
38.7336075,-106.1600183,07091000,ac01,47,23,Chalk Ck At Nathrop                     ,APR-JUL VOLUME,bound_10_30_50_70_90,9.2,12,14.4,17,22,40,52,63,74,96,6,2006,20060608,CO
38.7336075,-106.1600183,07091000,ac01,49,27,Chalk Ck At Nathrop                     ,APR-SEP VOLUME,bound_10_30_50_70_90,11.6,15.4,18.4,22,28,43,57,68,81,104,6,2006,20060608,CO
38.7336075,-106.1600183,07091000,ac01,67,18,Chalk Ck At Nathrop                     ,JUN-JUL VOLUME,bound_10_30_50_70_90,4.76,7.65,10,9.75,13.6,26,42,56,54,76,6,2006,20060608,CO
38.7336075,-106.1600183,07091000,ac01,69,23,Chalk Ck At Nathrop                     ,JUN-SEP VOLUME,bound_10_30_50_70_90,7.14,10.9,14,17.4,23,31,47,61,76,100,6,2006,20060608,CO
38.5458306,-106.0105692,07091500,ac01,47,255,Arkansas River At Salida (2)            ,APR-JUL VOLUME,bound_10_30_50_70_90,181,205,225,245,275,71,80,88,96,108,6,2006,20060608,CO
38.5458306,-106.0105692,07091500,ac01,49,310,Arkansas River At Salida (2)            ,APR-SEP VOLUME,bound_10_30_50_70_90,210,245,270,300,340,68,79,87,97,110,6,2006,20060608,CO
38.5458306,-106.0105692,07091500,ac01,67,187,Arkansas River At Salida (2)            ,JUN-JUL VOLUME,bound_10_30_50_70_90,87,112,130,150,181,47,60,70,80,97,6,2006,20060608,CO
38.5458306,-106.0105692,07091500,ac01,69,245,Arkansas River At Salida (2)            ,JUN-SEP VOLUME,bound_10_30_50_70_90,117,150,175,202,244,48,61,71,82,100,6,2006,20060608,CO
38.1861106,-105.4836125,07095000,ac01,47,16.1,Grape Creek Near Westcliffe             ,APR-JUL VOLUME,bound_10_30_50_70_90,1.29,1.61,2.5,4,7.2,8,10,16,25,45,6,2006,20060608,CO
38.1861106,-105.4836125,07095000,ac01,49,19.6,Grape Creek Near Westcliffe             ,APR-SEP VOLUME,bound_10_30_50_70_90,1.76,3.5,5.6,8,12.7,9,18,29,41,65,6,2006,20060608,CO
38.1861106,-105.4836125,07095000,ac01,67,8.8,Grape Creek Near Westcliffe             ,JUN-JUL VOLUME,bound_10_30_50_70_90,0.18,0.35,1.33,2.8,6.1,2,4,15,32,69,6,2006,20060608,CO
38.1861106,-105.4836125,07095000,ac01,69,12.3,Grape Creek Near Westcliffe             ,JUN-SEP VOLUME,bound_10_30_50_70_90,0.62,2.46,4.4,6.9,11.6,5,20,36,56,94,6,2006,20060608,CO
38.2716694,-104.718033,07099400,ac01,47,385,Pueblo Reservoir Inflow (2)             ,APR-JUL VOLUME,bound_10_30_50_70_90,210,245,270,300,345,55,64,70,78,90,6,2006,20060608,CO
38.2716694,-104.718033,07099400,ac01,67,259,Pueblo Reservoir Inflow (2)             ,JUN-JUL VOLUME,bound_10_30_50_70_90,103,138,165,194,242,40,53,64,75,93,6,2006,20060608,CO
38.2716694,-104.718033,07099400,ac01,49,485,Pueblo Reservoir Inflow (2)             ,APR-SEP VOLUME,bound_10_30_50_70_90,265,315,355,400,465,55,65,73,82,96,6,2006,20060608,CO
38.2716694,-104.718033,07099400,ac01,69,360,Pueblo Reservoir Inflow (2)             ,JUN-SEP VOLUME,bound_10_30_50_70_90,161,211,250,292,359,45,59,69,81,100,6,2006,20060608,CO
37.4200128,-105.052778,07114000,ac01,47,11.3,Cucharas River At Boyd Ranch Nr La Veta ,APR-JUL VOLUME,bound_10_30_50_70_90,2.5,2.6,3,3.5,4.4,22,23,27,31,39,6,2006,20060608,CO
37.4200128,-105.052778,07114000,ac01,49,13,Cucharas River At Boyd Ranch Nr La Veta ,APR-SEP VOLUME,bound_10_30_50_70_90,3,3.3,3.8,4.6,5.7,23,25,29,35,44,6,2006,20060608,CO
37.4200128,-105.052778,07114000,ac01,67,6,Cucharas River At Boyd Ranch Nr La Veta ,JUN-JUL VOLUME,bound_10_30_50_70_90,0.6,0.79,1.2,1.7,2.6,10,13,20,28,43,6,2006,20060608,CO
37.4200128,-105.052778,07114000,ac01,69,7.8,Cucharas River At Boyd Ranch Nr La Veta ,JUN-SEP VOLUME,bound_10_30_50_70_90,1.09,1.4,2,2.7,3.8,14,18,26,35,49,6,2006,20060608,CO
