lat,lon,ID,Basin,Target,Norm_1970_2000,Location_name,Target_Name,Prob_exceedence_levels,Fcst_min_vol,Fcst_low_vol,Fcst_mid_vol,Fcst_upp_vol,Fcst_max_vol,Fcst_min_pct,Fcst_low_pct,Fcst_mid_pct,Fcst_upp_pct,Fcst_max_pct,Issue_month,Issue_year,File_Production_date_YYYYMMDD,State
38.7336075,-106.1600183,07091000,ac01,47,23,CHALK CK at Nathrop                     ,APR-JUL VOLUME,bound_10_30_50_70_90,11,16,20,24,32,48,70,87,104,139,3,2010,20100322,CO
38.7336075,-106.1600183,07091000,ac01,49,27,CHALK CK at Nathrop                     ,APR-SEP VOLUME,bound_10_30_50_70_90,13.4,19.4,24,29,38,50,72,89,107,141,3,2010,20100322,CO
38.5458306,-106.0105692,07091500,ac01,47,255,ARKANSAS RIVER at Salida (2)            ,APR-JUL VOLUME,bound_10_30_50_70_90,174,210,240,270,315,68,82,94,106,124,3,2010,20100322,CO
38.5458306,-106.0105692,07091500,ac01,49,310,ARKANSAS RIVER at Salida (2)            ,APR-SEP VOLUME,bound_10_30_50_70_90,205,255,290,330,390,66,82,94,106,126,3,2010,20100322,CO
38.1861106,-105.4836125,07095000,ac01,47,16.1,GRAPE CK nr Westcliffe                  ,APR-JUL VOLUME,bound_10_30_50_70_90,4.1,10.4,16.4,24,37,25,65,102,149,230,3,2010,20100322,CO
38.1861106,-105.4836125,07095000,ac01,49,19.6,GRAPE CK nr Westcliffe                  ,APR-SEP VOLUME,bound_10_30_50_70_90,6.7,13.8,20,27,40,34,70,102,138,204,3,2010,20100322,CO
38.2716694,-104.718033,07099400,ac01,47,385,PUEBLO RESERVOIR Inflow (2)             ,APR-JUL VOLUME,bound_10_30_50_70_90,205,285,345,410,520,53,74,90,106,135,3,2010,20100322,CO
38.2716694,-104.718033,07099400,ac01,49,485,PUEBLO RESERVOIR Inflow (2)             ,APR-SEP VOLUME,bound_10_30_50_70_90,270,365,435,515,640,56,75,90,106,132,3,2010,20100322,CO
37.7277817,-105.351395,07111000,ac01,47,12.3,HUERFANO RIVER nr Redwing               ,APR-JUL VOLUME,bound_10_30_50_70_90,7.8,11.1,13.7,16.5,21,63,90,111,134,171,3,2010,20100322,CO
37.7277817,-105.351395,07111000,ac01,49,15.5,HUERFANO RIVER nr Redwing               ,APR-SEP VOLUME,bound_10_30_50_70_90,10.2,14.2,17.2,21,26,66,92,111,135,168,3,2010,20100322,CO
37.4200128,-105.052778,07114000,ac01,47,11.3,CUCHARAS RIVER nr La Veta               ,APR-JUL VOLUME,bound_10_30_50_70_90,5.4,9.1,12.1,15.6,22,48,81,107,138,195,3,2010,20100322,CO
37.4200128,-105.052778,07114000,ac01,49,13,CUCHARAS RIVER nr La Veta               ,APR-SEP VOLUME,bound_10_30_50_70_90,6.7,10.7,13.9,17.6,24,52,82,107,135,185,3,2010,20100322,CO
37.1708522,-104.5091519,07124500,ac01,37,34,TRINIDAD LAKE Inflow (2)                ,MAR-JUL VOLUME,bound_10_30_50_70_90,11.8,23,33,45,65,35,68,97,132,191,3,2010,20100322,CO
37.1708522,-104.5091519,07124500,ac01,49,44,TRINIDAD LAKE Inflow (2)                ,APR-SEP VOLUME,bound_10_30_50_70_90,14.7,28,40,54,78,33,64,91,123,177,3,2010,20100322,CO
36.6805883,-104.7861069,07203000,ac01,36,7,VERMEJO RIVER nr Dawson                 ,MAR-JUN VOLUME,bound_10_30_50_70_90,3.2,5.6,7.7,10.3,15.01,46,80,110,147,214,3,2010,20100322,NM
36.5319769,-105.2291733,07206000,ac01,36,11.7,EAGLE NEST RESERVOIR Inflow (2)         ,MAR-JUN VOLUME,bound_10_30_50_70_90,5.9,9,11.7,14.8,20,50,77,100,126,171,3,2010,20100322,NM
36.5197578,-104.9788914,07207000,ac01,36,15.9,CIMARRON RIVER nr Cimarron (2)          ,MAR-JUN VOLUME,bound_10_30_50_70_90,6.4,9.8,15.9,22,31,40,62,100,138,195,3,2010,20100322,NM
36.5736458,-104.9466678,07207500,ac01,36,6.7,PONIL CREEK nr Cimarron                 ,MAR-JUN VOLUME,bound_10_30_50_70_90,3.4,5.5,7.2,9.3,12.99,51,82,107,139,194,3,2010,20100322,NM
36.3722583,-104.9700025,07208500,ac01,36,7.1,RAYADO CK at Sauble Ranch nr Cimarron   ,MAR-JUN VOLUME,bound_10_30_50_70_90,3.3,5.5,7.4,9.7,13.99,46,77,104,137,197,3,2010,20100322,NM
35.8908731,-105.1636194,07216500,ac01,36,14.6,MORA RIVER nr Golondrinas (2)           ,MAR-JUN VOLUME,bound_10_30_50_70_90,5,7.6,12.6,19.5,30,34,52,86,134,205,3,2010,20100322,NM
35.4078,-104.1691,07223500,ac01,36,43,CONCHAS RESERVOIR Inflow (23)          ,MAR-JUN VOLUME,bound_10_30_50_70_90,13.6,22,34,61,124,32,51,79,142,288,3,2010,20100322,NM
64.789168,-141.2000892,15356000,ak01,47,34200,YUKON RIVER at Eagle                    ,APR-JUL VOLUME,bound_10_30_50_70_90,25800,28600,30600,32600,35400,75,84,89,95,104,3,2010,20100322,AK
67.4172222,-140.8911111,15388960,ak01,47,5640,PORCUPINE RIVER nr Intl Boundary        ,APR-JUL VOLUME,bound_10_30_50_70_90,3409,4312,4690,5938,7511,60,76,83,105,133,3,2010,20100322,AK
